wl,n
0.2100,1.5383576204905
0.2174,1.530846431063
0.2251,1.5240789072975
0.2330,1.5180417677275
0.2412,1.5125721155558
0.2497,1.5076095872199
0.2585,1.5031009629039
0.2676,1.498999218542
0.2770,1.495262719426
0.2868,1.4918215034661
0.2969,1.488683281387
0.3074,1.4857914366574
0.3182,1.4831504333467
0.3294,1.4807144415912
0.3410,1.4784676522483
0.3530,1.4763951298847
0.3655,1.4744682820342
0.3783,1.4727046797948
0.3917,1.4710525123802
0.4055,1.4695286500209
0.4197,1.4681218218832
0.4345,1.4668048202486
0.4498,1.465580829975
0.4657,1.4644360310913
0.4821,1.4633719346282
0.4991,1.4623764385944
0.5167,1.4614449911601
0.5349,1.4605730794883
0.5537,1.4597562854765
0.5732,1.4589865613939
0.5934,1.4582607881284
0.6143,1.4575758068817
0.6360,1.4569256013294
0.6584,1.4563104080175
0.6816,1.4557246986958
0.7056,1.4551660299221
0.7305,1.4546298754538
0.7562,1.4541161650842
0.7829,1.4536188536247
0.8104,1.4531396102638
0.8390,1.4526712743322
0.8686,1.4522138205731
0.8992,1.4517653834747
0.9308,1.4513240787777
0.9636,1.4508853971281
0.9976,1.450447735732
1.033,1.4500069615101
1.069,1.4495710901504
1.107,1.4491214616538
1.146,1.448668310738
1.186,1.4482096590065
1.228,1.4477322458328
1.271,1.4472455774929
1.316,1.4467363524093
1.362,1.4462138519129
1.410,1.445664578157
1.460,1.4450861470109
1.512,1.4444759883488
1.565,1.4438434020915
1.620,1.4431739285381
1.677,1.4424645759259
1.736,1.4417121733672
1.797,1.4409133669095
1.861,1.4400509385522
1.926,1.43914806608
1.994,1.4381729429417
2.064,1.4371349603433
2.137,1.4360139618555
2.212,1.4348196176837
2.290,1.433529881253
2.371,1.4321372109342
2.454,1.4306516985468
2.541,1.4290287283802
2.630,1.427296093753
2.723,1.4254044329951
2.819,1.4233613684394
2.918,1.4211544161909
3.021,1.4187459519934
3.128,1.416117293379
3.238,1.4132741569442
3.352,1.4101696832452
3.470,1.4067782146466
3.592,1.4030708962299
3.719,1.3989819997456
3.850,1.3945035722002
3.986,1.3895553417944
4.126,1.3841208059058
4.271,1.3780997735118
4.422,1.3713701305288
4.578,1.36388143366
4.739,1.3555262189157
4.906,1.3461171232165
5.079,1.3354823573874
5.258,1.3234105439689
5.443,1.3096384003386
5.635,1.2937460280032
5.833,1.2753723963511
6.039,1.2537289561387
6.252,1.2280888354422
6.472,1.1973256716307
6.700,1.1596494139777
